#رقم,مشكول,صنف,أصل,جنس,عدد
977,مَقُولٌ,مفعول,قَالَ,مذكر,مفرد
978,مُقَبَّبٌ,مفعول,قَبَّبَ,مذكر,مفرد
979,مَقْبُورٌ,مفعول,قَبَرَ,مذكر,مفرد
980,مَقْبُوضٌ,مفعول,قَبَضَ,مذكر,مفرد
981,مَقْبُولٌ,مفعول,قَبِلَ,مذكر,مفرد
982,مَقْتُولٌ,مفعول,قَتَلَ,مذكر,مفرد
983,مَقْدُودٌ,مفعول,قَدَّ,مذكر,مفرد
984,مُقَدَّدٌ,مفعول,قَدَّدَ,مذكر,مفرد
985,مُقَدَّرٌ,مفعول,قَدَّرَ,مذكر,مفرد
986,مَقْدُورٌ,مفعول,قَدَرَ,مذكر,مفرد
987,مُقَدَّسٌ,مفعول,قَدَّسَ,مذكر,مفرد
988,مُقَدَّمٌ,مفعول,قَدَّمَ,مذكر,مفرد
989,مَقْذُوفٌ,مفعول,قَذَفَ,مذكر,مفرد
990,مَقَاذِيفُ,مفعول,قَذَفَ,,جمع
991,مَقْرُورٌ,مفعول,قَرَّ,مذكر,مفرد
992,مَقْرُوءٌ,مفعول,قَرَأَ,مذكر,مفرد
993,مَقْرُوءَةٌ,مفعول,قَرَأَ,مؤنث,مفرد
994,مُقَرَّبٌ,مفعول,قَرَّبَ,مذكر,مفرد
995,مُقَرَّحٌ,مفعول,قَرَّحَ,مذكر,مفرد
996,مَقْرُوحٌ,مفعول,قَرَحَ,مذكر,مفرد
997,مُقَرَّرٌ,مفعول,قَرَّرَ,مذكر,مفرد
998,مَقْرُونٌ,مفعول,قَرَنَ,مذكر,مفرد
999,مُقَسَّمٌ,مفعول,قَسَّمَ,مذكر,مفرد
1000,مَقْسُومٌ,مفعول,قَسَمَ,مذكر,مفرد
1001,مُقَشَّبٌ,مفعول,قَشَّبَ,مذكر,مفرد
1002,مَقْصُوصٌ,مفعول,قَصَّ,مذكر,مفرد
1003,مُقَصَّبٌ,مفعول,قَصَّبَ,مذكر,مفرد
1004,مَقْصُودٌ,مفعول,قَصَدَ,مذكر,مفرد
1005,مُقَصَّرٌ,مفعول,قَصَّرَ,مذكر,مفرد
1006,مَقْصُورٌ,مفعول,قَصَرَ,مذكر,مفرد
1007,مَقَاصِيرُ,مفعول,قَصَرَ,,جمع
1008,مُقَطَّبٌ,مفعول,قَطَّبَ,مذكر,مفرد
1009,مُقَطَّرٌ,مفعول,قَطَّرَ,مذكر,مفرد
1010,مَقْطُوعٌ,مفعول,قَطَعَ,مذكر,مفرد
1011,مَقَاطِيعُ,مفعول,قَطَعَ,,جمع
1012,مُقَعَّرٌ,مفعول,قَعَّرَ,مذكر,مفرد
1013,مُقَفَّعٌ,مفعول,قَفَّعَ,مذكر,مفرد
1014,مَقْلُوبٌ,مفعول,قَلَبَ,مذكر,مفرد
1015,مُقَلَّدٌ,مفعول,قَلَّدَ,مذكر,مفرد
1016,مَقْلِيٌّ,مفعول,قَلَى,مذكر,مفرد
1017,مَقْمُوعٌ,مفعول,قَمَعَ,مذكر,مفرد
1018,مُقَمَّلٌ,مفعول,قَمَّلَ,مذكر,مفرد
1019,مُقَنْطَرٌ,مفعول,قَنْطَرَ,مذكر,مفرد
1020,مُقَنَّعٌ,مفعول,قَنَّعَ,مذكر,مفرد
1021,مُقَوَّرٌ,مفعول,قَوَّرَ,مذكر,مفرد
1022,مُقَوَّسٌ,مفعول,قَوَّسَ,مذكر,مفرد
1023,مُقَوَّضٌ,مفعول,قَوَّضَ,مذكر,مفرد
1024,مُقَوْلَبٌ,مفعول,قَوْلَبَ,مذكر,مفرد
1025,مُقَوَّمٌ,مفعول,قَوَّمَ,مذكر,مفرد
1026,مُقَوَّى,مفعول,قَوَّى,مذكر,مفرد
1027,مُقَوّاة,مفعول,قَوَّى,مؤنث,مفرد
1028,مُقَيَّدٌ,مفعول,قَيَّدَ,مذكر,مفرد
1029,مُكَافَأٌ,مفعول,كَافَأَ,مذكر,مفرد
1030,مُكَافَأَةٌ,مفعول,كَافَأَ,مؤنث,مفرد
1031,مَكْبُوتٌ,مفعول,كَبَتَ,مذكر,مفرد
1032,مَكْتُوبٌ,مفعول,كَتَبَ,مذكر,مفرد
1033,مَكَاتِيبُ,مفعول,كَتَبَ,,جمع
1034,مَكْتُوفٌ,مفعول,كَتَفَ,مذكر,مفرد
1035,مُكَتَّلٌ,مفعول,كَتَّلَ,مذكر,مفرد
1036,مَكْتُومٌ,مفعول,كَتَمَ,مذكر,مفرد
1037,مُكَثَّرٌ,مفعول,كَثَّرَ,مذكر,مفرد
1038,مُكَثَّفٌ,مفعول,كَثَّفَ,مذكر,مفرد
1039,مَكْدُودٌ,مفعول,كَدَّ,مذكر,مفرد
1040,مُكَدَّرٌ,مفعول,كَدَّرَ,مذكر,مفرد
1041,مَكْرُوبٌ,مفعول,كَرَبَ,مذكر,مفرد
1042,مُكَرَّرٌ,مفعول,كَرَّرَ,مذكر,مفرد
1043,مُكَرَّسٌ,مفعول,كَرَّسَ,مذكر,مفرد
1044,مُكَرَّمٌ,مفعول,كَرَّمَ,مذكر,مفرد
1045,مَكْرُوهٌ,مفعول,كَرِهَ,مذكر,مفرد
1046,مُكَسَّرٌ,مفعول,كَسَّرَ,مذكر,مفرد
1047,مَكْسُورٌ,مفعول,كَسَرَ,مذكر,مفرد
1048,مَكَاسِيرُ,مفعول,كَسَرَ,,جمع
1049,مَكْشُوفٌ,مفعول,كَشَفَ,مذكر,مفرد
1050,مَكْظُومٌ,مفعول,كَظَمَ,مذكر,مفرد
1051,مَكْفُوفٌ,مفعول,كَفَّ,مذكر,مفرد
1052,مَكَافِيفُ,مفعول,كَفَّ,,جمع
1053,مَكْفُولٌ,مفعول,كَفَلَ,مذكر,مفرد
1054,مُكَفَّنٌ,مفعول,كَفَّنَ,مذكر,مفرد
1055,مُكَلَّفٌ,مفعول,كَلَّفَ,مذكر,مفرد
1056,مُكَلَّلٌ,مفعول,كَلَّلَ,مذكر,مفرد
1057,مَكْمُومٌ,مفعول,كَمَّ,مذكر,مفرد
1058,مَكْمُودٌ,مفعول,كَمِدَ,مذكر,مفرد
1059,مُكَمَّمٌ,مفعول,كَمَّمَ,مذكر,مفرد
1060,مَكْنُونٌ,مفعول,كَنَّ,مذكر,مفرد
1061,مُكَنَّى,مفعول,كَنَّى,مذكر,مفرد
1062,مُكَنّاة,مفعول,كَنَّى,مؤنث,مفرد
1063,مُكَهْرَبٌ,مفعول,كَهْرَبَ,مذكر,مفرد
1064,مُكَوَّرٌ,مفعول,كَوَّرَ,مذكر,مفرد
1065,مُكَوَّمٌ,مفعول,كَوَّمَ,مذكر,مفرد
1066,مُكَوَّنٌ,مفعول,كَوَّنَ,مذكر,مفرد
1067,مَكْوِيٌّ,مفعول,كَوَى,مذكر,مفرد
1068,مُكَيَّفٌ,مفعول,كَيَّفَ,مذكر,مفرد
1069,مُلَاحَقٌ,مفعول,لاَحَقَ,مذكر,مفرد
1070,مُلَامٌ,مفعول,ألاَمَ,مذكر,مفرد
1071,مَلُومٌ,مفعول,لاَمَ,مذكر,مفرد
1072,مُلَبَّدٌ,مفعول,لَبَّدَ,مذكر,مفرد
